# Generated from https://threatfox.abuse.ch/export/csv/domains/full/
127.0.0.1 luxypeace.com #payload_delivery, js.iclickfix, IClickFix https://threatfox.abuse.ch/ioc/1885723/
127.0.0.1 urshort.com #payload_delivery, js.iclickfix, IClickFix https://threatfox.abuse.ch/ioc/1885724/
127.0.0.1 priscozen.net #payload_delivery, js.iclickfix, IClickFix https://threatfox.abuse.ch/ioc/1885725/
127.0.0.1 koebeta.com #payload_delivery, js.iclickfix, IClickFix https://threatfox.abuse.ch/ioc/1885726/
127.0.0.1 dryflyinsights.com #payload_delivery, js.iclickfix, IClickFix https://threatfox.abuse.ch/ioc/1885727/
127.0.0.1 technicaltalk.net #payload_delivery, js.iclickfix, IClickFix https://threatfox.abuse.ch/ioc/1885728/
127.0.0.1 slgadgets.com #payload_delivery, js.iclickfix, IClickFix https://threatfox.abuse.ch/ioc/1885729/
127.0.0.1 savilera.com #payload_delivery, js.iclickfix, IClickFix https://threatfox.abuse.ch/ioc/1885730/
127.0.0.1 quicksolutionsatl.com #payload_delivery, js.iclickfix, IClickFix https://threatfox.abuse.ch/ioc/1885731/
127.0.0.1 rbconstructionibiza.com #payload_delivery, js.iclickfix, IClickFix https://threatfox.abuse.ch/ioc/1885732/
127.0.0.1 thebrandlan.com #payload_delivery, js.iclickfix, IClickFix https://threatfox.abuse.ch/ioc/1885704/
127.0.0.1 thamesbaths.com #payload_delivery, js.iclickfix, IClickFix https://threatfox.abuse.ch/ioc/1885705/
127.0.0.1 butikiplik.com #payload_delivery, js.iclickfix, IClickFix https://threatfox.abuse.ch/ioc/1885706/
127.0.0.1 willoughbyglass.com.au #payload_delivery, js.iclickfix, IClickFix https://threatfox.abuse.ch/ioc/1885707/
127.0.0.1 rbpa.org #payload_delivery, js.iclickfix, IClickFix https://threatfox.abuse.ch/ioc/1885708/
127.0.0.1 pabxsupport.co.za #payload_delivery, js.iclickfix, IClickFix https://threatfox.abuse.ch/ioc/1885709/
127.0.0.1 md-fliesenleger.de #payload_delivery, js.iclickfix, IClickFix https://threatfox.abuse.ch/ioc/1885710/
127.0.0.1 landplanman.com #payload_delivery, js.iclickfix, IClickFix https://threatfox.abuse.ch/ioc/1885711/
127.0.0.1 kidscoaching.com.br #payload_delivery, js.iclickfix, IClickFix https://threatfox.abuse.ch/ioc/1885712/
127.0.0.1 karino.sk #payload_delivery, js.iclickfix, IClickFix https://threatfox.abuse.ch/ioc/1885713/
